Date,IHK,CdgDevisa,BIRate,UMR,Ekspor,Impor
Jan-18,132.1,,4.25,2252921,14553404792,15309429258
Feb-18,132.32,,4.25,2252921,14132633647,14185493772
Mar-18,132.58,,4.25,2252921,15586866516,14463601047
Apr-18,132.71,,4.25,2252921,14537194227,16162289358
May-18,132.99,,4.5,2252921,16209317934,17662888974
Jun-18,133.77,,4.75,2252921,12974380361,11267885237
Jul-18,134.14,,5.25,2252921,16290204390,18297113111
Aug-18,134.07,,5.25,2252921,15873916962,16818139742
Sep-18,133.83,,5.5,2252921,14924008982,14610057878
Oct-18,134.2,,5.75,2252921,15894169721,17667618898
Nov-18,134.56,,5.75,2252921,14905771748,16901814777
Dec-18,135.39,120654,5.75,2252921,14333166293,15364913977
